id,id_viaje,moneda,tipo_cambio
A008758,V084,Dolar Americano,813.2
A014023,V132,Euro,1014.49
A006076,V071,Dolar Americano,774.3
A005404,V062,Dolar Americano,677.15
A004866,V052,Dolar Americano,678.23
A008568,V084,Dolar Americano,784.68
A002016,V021,Euro,710.93
A006282,V074,Euro,835.55
A014149,V123,Dolar Americano,938.78
A007236,V080,Yen Japones,73981
A001706,V018,Euro,698.95
A001433,V013,Dolar Americano,660.25
A004640,V052,Dolar Americano,663.53
A014143,V123,Dolar Americano,938.78
A009509,V086,Euro,886.13
A009502,V086,Euro,886.13
A015650,V143,Yen Japones,67595
A013552,V120,Dolar Americano,966.4
A013549,V120,Dolar Americano,966.4
A013889,V122,Yen Japones,63314
A008633,V084,Dolar Americano,810.9
A001412,V013,Dolar Americano,660.25
A003784,V046,Yen Japones,57111
A013912,V122,Yen Japones,61716
A013136,V113,Euro,971.81
A009498,V086,Euro,886.13
A014270,V123,Dolar Americano,938.78
A009519,V086,Euro,882.76
A005259,V060,Yen Japones,64008
A003020,V032,Dolar Americano,625.92
A013149,V113,Euro,973.31
A014255,V122,Yen Japones,61354
A005638,V064,Yen Japones,66492
A006283,V074,Euro,835.55
A009506,V086,Euro,886.13
A015628,V143,Yen Japones,66340
A013074,V113,Euro,954.58
A011015,V100,Euro,936.78
A001421,V013,Dolar Americano,660.25
A014232,V120,Dolar Americano,938.78
A013896,V122,Yen Japones,63314
A004907,V052,Dolar Americano,679.38
A013792-1,V116,Yen Japones,61984
A014128,V122,Yen Japones,61354
A008716,V083,Yen Japones,71769
A013972,V127,Yen Japones,61453
A013768,V115,Dolar Americano,940.92
A013352,V119,Euro,1024.05
A003799,V047,Dolar Americano,631.29
A009465,V086,Euro,895.19
A013992,V129,Yen Japones,61126
A001084,V010,Euro,775.58
A014145,V123,Dolar Americano,938.78
A014100,V115,Dolar Americano,938.78
A008723,V083,Yen Japones,71769
A005936,V068,Dolar Americano,723.8
A005831,V066,Euro,785.21
A013782,V116,Yen Japones,61984
A013885,V122,Yen Japones,63314
A001728,V021,Euro,700.58
A005408,V062,Dolar Americano,677.15
A013999,V131,Dolar Americano,948.83
A003785,V047,Dolar Americano,629.22
A009475,V086,Euro,894.03
A000216,V002,Dolar Americano,678
A013903-1,V122,Yen Japones,62440
A003025,V032,Dolar Americano,625.92
A013948,V123,Dolar Americano,954.44
A005641,V064,Yen Japones,66492
A013651,V114,Euro,1059.13
A005941,V068,Dolar Americano,723.8
A011990,V103,Euro,846.33
A008717,V083,Yen Japones,71769
A013884,V122,Yen Japones,63334
A006276,V074,Euro,835.55
A014204,V116,Yen Japones,61354
A013218,V123,Dolar Americano,909.5
A014272,V123,Dolar Americano,938.78
A013721,V131,Dolar Americano,974.2
A003769,V046,Yen Japones,57111
A004391,V052,Dolar Americano,673.46
A010181,V090,Euro,947.26
A011920,V101,Euro,855.45
A013627,V114,Euro,1061.55
A004852,V052,Dolar Americano,667.03
A014221,V119,Euro,1009.94
A007227,V080,Yen Japones,72963
A013961,V125,Dolar Americano,954.44
A009508,V086,Euro,886.13
A014644,V138,Euro,1033.8
A013894,V122,Yen Japones,63314
A015473,V143,Yen Japones,63008
A013914,V122,Yen Japones,61716
A006291,V075,Dolar Americano,751.5
A013638,V114,Euro,1059.13
A003751,V046,Yen Japones,57363
A013864,V121,Dolar Americano,979.9
A015664,V143,Yen Japones,67562
A013909,V122,Yen Japones,61716
A013714,V125,Dolar Americano,974.2
A015654,V143,Yen Japones,67595
A001413,V013,Dolar Americano,660.25
A013930-1,V123,Dolar Americano,954.44
A006268,V074,Euro,827.1
