"id","fecha","razon_uso","clave","descripcion","lugar_de_uso","monto","periodo_fact_c_diaria","tipo_razon_uso","id_viaje","grupo_viaje","id_presupuesto"
A015015,2024-10-17,NECESIDAD,consumible,consumible_3545,NECESIDAD7,-1627.5,202410,regular,,,
A015016,2024-10-17,NECESIDAD,consumible,consumible_5495,NECESIDAD7,-1690.9499999999998,202410,regular,,,
A015017,2024-10-19,RECREACION,deuda,deuda_8225,RECREACION5,-1319.415,202410,regular,,,
A015018,2024-10-19,RECREACION,deuda,deuda_8196,RECREACION4,-890.0699999999999,202410,regular,,,
A015019,2024-10-19,RECREACION,deuda,deuda_8272,RECREACION8,-1890.465,202410,regular,,,
A015020,2024-10-19,RECREACION,deuda,deuda_8245,RECREACION5,-5505.0,202410,regular,,,
A015021,2024-10-19,RECREACION,deuda,deuda_8215,RECREACION5,-42404.700000000004,202410,regular,,,
A015022,2024-10-19,RECREACION,deuda,deuda_8222,RECREACION8,-1264.4250000000002,202410,regular,,,
A015023,2024-10-19,RECREACION,deuda,deuda_8208,RECREACION2,-3213.75,202410,regular,,,
A015024,2024-10-19,RECREACION,consumible,consumible_10132,RECREACION8,-25456.5,202410,regular,,,
A015025,2024-10-19,RECREACION,consumible,consumible_13825,RECREACION5,-2015.25,202410,regular,,,
A015026,2024-10-19,RECREACION,transporte,transporte_20,RECREACION3,-8487.855,202410,regular,,,
A015028,2024-10-21,RECREACION,deuda,deuda: nombre_8,RECREACION3,49344.0,202410,regular,,,
A015029,2024-10-21,LIBRE,consumible,consumible_6985,LIBRE4,-6985.5,202410,regular,,,
A015031,2024-10-23,NECESIDAD,consumible,consumible_7686,NECESIDAD6,-5122.89,202410,regular,,,
A015032,2024-10-23,NECESIDAD,consumible,consumible_5582,NECESIDAD10,-13365.75,202410,regular,,,
A015033,2024-10-23,NECESIDAD,consumible,consumible_3521,NECESIDAD1,-4236.0,202410,regular,,,
A015034,2024-10-23,NECESIDAD,consumible,consumible_5779,NECESIDAD3,-1803.75,202410,regular,,,
A015035,2024-10-23,NECESIDAD,consumible,consumible_5171,NECESIDAD1,-1359.6,202410,regular,,,
A015036,2024-10-23,NECESIDAD,necesidad,necesidad_6,NECESIDAD3,-2818.95,202410,regular,,,
A015037,2024-10-23,NECESIDAD,consumible,consumible_7341,NECESIDAD1,-2371.98,202410,regular,,,
A015038,2024-10-23,NECESIDAD,consumible,consumible_4170,NECESIDAD2,-2262.0,202410,regular,,,
A015039,2024-10-23,NECESIDAD,consumible,consumible_7000,NECESIDAD2,-1525.98,202410,regular,,,
A015040,2024-10-23,NECESIDAD,consumible,consumible_6016,NECESIDAD6,-4997.4,202410,regular,,,
A015041,2024-10-23,HOGAR,hogar,hogar2272,HOGAR6,-11603.25,202410,regular,,,
