"id","fecha","razon_uso","descripcion","lugar_de_uso","monto","id_deuda","periodo_fact_c_diaria","nombre_deudor","periodo_id_deuda"
A004076,2018-08-12,RECREACION,deuda: nombre_9,RECREACION7,8454.0,D047,201808,nombre_9,201808
A004077,2018-08-12,RECREACION,deuda: nombre_20,RECREACION8,3519.0,D047,201808,nombre_20,201808
A004078,2018-08-12,RECREACION,deuda: nombre_16,RECREACION9,5634.0,D047,201808,nombre_16,201808
A004079,2018-08-13,LIBRE,deuda: nombre_6,LIBRE1,5634.0,D046,201808,nombre_6,201808
A004116,2018-08-18,RECREACION,deuda: nombre_20,RECREACION10,14094.0,D048,201808,nombre_20,201808
A004117,2018-08-18,RECREACION,deuda: nombre_16,RECREACION1,-12273.0,D048,201808,nombre_16,201808
A004118,2018-08-18,RECREACION,deuda: nombre_8,RECREACION2,-2121.0,D048,201808,nombre_8,201808
A004119,2018-08-18,RECREACION,deuda: nombre_17,RECREACION3,-5998.5,D049,201808,nombre_17,201808
A004121,2018-08-19,RECREACION,deuda: nombre_18,RECREACION4,5634.0,D049,201808,nombre_18,201808
A004122,2018-08-22,LIBRE,deuda: nombre_7,LIBRE2,1404.0,D050,201808,nombre_7,201808
A004123,2018-08-22,RECREACION,deuda: nombre_13,RECREACION5,-675.75,D050,201808,nombre_13,201808
A004124,2018-08-22,RECREACION,deuda: nombre_20,RECREACION6,-711.0,D050,201808,nombre_20,201808
A004280,2018-10-14,RECREACION,deuda: nombre_19,RECREACION7,-21156.0,D000,201810,nombre_19,201604
A004295,2018-10-18,LIBRE,deuda: nombre_20,LIBRE3,-38781.0,D051,201810,nombre_20,201810
A004296,2018-10-18,LIBRE,deuda: nombre_10,LIBRE4,38769.0,D051,201810,nombre_10,201810
A004315,2018-10-21,LIBRE,deuda: nombre_11,LIBRE5,84594.0,D052,201810,nombre_11,201810
A004316,2018-10-21,LIBRE,deuda: nombre_12,LIBRE6,-85253.895,D052,201810,nombre_12,201810
A004413,2018-11-22,LIBRE,deuda: nombre_15,LIBRE7,-3531.0,D000,201811,nombre_15,201604
A004417,2018-11-23,RECREACION,deuda: nombre_18,RECREACION8,-4236.0,D053,201811,nombre_18,201811
A004418,2018-11-23,RECREACION,deuda: nombre_19,RECREACION9,4224.0,D053,201811,nombre_19,201811
A004443,2018-11-30,LIBRE,deuda: nombre_11,LIBRE8,-3531.0,D054,201811,nombre_11,201811
A004444,2018-12-01,LIBRE,deuda: nombre_15,LIBRE9,3519.0,D054,201812,nombre_15,201811
A004498,2018-12-14,RECREACION,deuda: nombre_11,RECREACION10,-4095.0,D055,201812,nombre_11,201812
A004500,2018-12-14,RECREACION,deuda: nombre_12,RECREACION1,3519.0,D055,201812,nombre_12,201812
A004502,2018-12-15,RECREACION,deuda: nombre_19,RECREACION2,-2121.0,D056,201812,nombre_19,201812
A004503,2018-12-15,LIBRE,deuda: nombre_20,LIBRE10,2814.0,D056,201812,nombre_20,201812
A004512,2018-12-17,LIBRE,deuda: nombre_8,LIBRE1,-2121.0,D057,201812,nombre_8,201812
A004513,2018-12-17,LIBRE,deuda: nombre_8,LIBRE2,-4941.0,D057,201812,nombre_8,201812
A004514,2018-12-17,RECREACION,deuda: nombre_13,RECREACION3,-2826.0,D000,201812,nombre_13,201604
A004517,2018-12-17,LIBRE,deuda: nombre_10,LIBRE3,-17631.0,D058,201812,nombre_10,201812
A004518,2018-12-17,LIBRE,deuda: nombre_11,LIBRE4,16209.0,D058,201812,nombre_11,201812
A004531,2018-12-21,LIBRE,deuda: nombre_9,LIBRE5,4929.0,D057,201812,nombre_9,201812
