"id","id_creditos","periodo_inicio","periodo_corte","tipo_credito","primer_dia_mes_corte"
A003367,34,201801,201802,gasto,2018-02-01
A003368,35,201802,201803,gasto,2018-03-01
A003369,35,201802,201803,gasto,2018-03-01
A003370,35,201802,201803,gasto,2018-03-01
A003371,35,201802,201803,gasto,2018-03-01
A003372,35,201802,201803,gasto,2018-03-01
A003374,35,201802,201803,gasto,2018-03-01
A003375,35,201802,201803,gasto,2018-03-01
A003376,35,201802,201803,gasto,2018-03-01
A003388,35,201802,201803,gasto,2018-03-01
A003391,35,201802,201803,gasto,2018-03-01
A003394,35,201802,201803,gasto,2018-03-01
A003395,35,201802,201803,gasto,2018-03-01
A003396,35,201802,201803,gasto,2018-03-01
A003397,35,201802,201803,gasto,2018-03-01
A003405,35,201802,201803,gasto,2018-03-01
A003407,35,201802,201803,gasto,2018-03-01
A003409,35,201802,201803,gasto,2018-03-01
A003410,35,201802,201803,deposito,2018-03-01
A003412,35,201802,201803,gasto,2018-03-01
A003415,35,201802,201803,gasto,2018-03-01
A003416,35,201802,201803,gasto,2018-03-01
A003417,35,201802,201803,gasto,2018-03-01
A003418,35,201802,201803,gasto,2018-03-01
A003419,35,201802,201803,gasto,2018-03-01
A003420,35,201802,201803,gasto,2018-03-01
A003421,35,201802,201803,gasto,2018-03-01
A003439,35,201802,201803,deposito,2018-03-01
A003453,35,201802,201803,gasto,2018-03-01
A003454,35,201802,201803,gasto,2018-03-01
A003460,35,201802,201803,gasto,2018-03-01
A003461,35,201802,201803,gasto,2018-03-01
A003462,35,201802,201803,gasto,2018-03-01
A003463,35,201802,201803,gasto,2018-03-01
A003464,35,201802,201803,deposito,2018-03-01
A003466,36,201803,201804,gasto,2018-04-01
A003467,36,201803,201804,gasto,2018-04-01
A003468,36,201803,201804,gasto,2018-04-01
A003469,36,201803,201804,gasto,2018-04-01
A003470,36,201803,201804,gasto,2018-04-01
A003471,36,201803,201804,gasto,2018-04-01
A003472,36,201803,201804,gasto,2018-04-01
A003490,36,201803,201804,deposito,2018-04-01
A003492,36,201803,201804,gasto,2018-04-01
A003493,36,201803,201804,gasto,2018-04-01
A003494,36,201803,201804,gasto,2018-04-01
A003495,36,201803,201804,gasto,2018-04-01
A003496,36,201803,201804,gasto,2018-04-01
A003498,36,201803,201804,gasto,2018-04-01
A003505,36,201803,201804,gasto,2018-04-01
A003506,36,201803,201804,gasto,2018-04-01
A003508,36,201803,201804,gasto,2018-04-01
A003509,36,201803,201804,gasto,2018-04-01
A003510,36,201803,201804,gasto,2018-04-01
A003511,36,201803,201804,gasto,2018-04-01
A003512,36,201803,201804,gasto,2018-04-01
A003513,36,201803,201804,gasto,2018-04-01
A003514,36,201803,201804,gasto,2018-04-01
A003515,36,201803,201804,gasto,2018-04-01
A003516,36,201803,201804,gasto,2018-04-01
A003517,36,201803,201804,gasto,2018-04-01
A003518,36,201803,201804,gasto,2018-04-01
A003519,36,201803,201804,gasto,2018-04-01
A003540,36,201803,201804,gasto,2018-04-01
A003541,36,201803,201804,gasto,2018-04-01
A003542,36,201803,201804,deposito,2018-04-01
A003552,36,201803,201804,gasto,2018-04-01
A003553,36,201803,201804,gasto,2018-04-01
A003554,36,201803,201804,gasto,2018-04-01
A003555,36,201803,201804,gasto,2018-04-01
A003556,36,201803,201804,gasto,2018-04-01
A003559,36,201803,201804,gasto,2018-04-01
A003560,36,201803,201804,gasto,2018-04-01
A003566,37,201804,201805,gasto,2018-05-01
A003572,37,201804,201805,gasto,2018-05-01
A003575,37,201804,201805,deposito,2018-05-01
A003585,37,201804,201805,gasto,2018-05-01
A003586,37,201804,201805,gasto,2018-05-01
A003587,37,201804,201805,gasto,2018-05-01
A003588,37,201804,201805,gasto,2018-05-01
A003589,37,201804,201805,gasto,2018-05-01
A003590,37,201804,201805,gasto,2018-05-01
A003591,37,201804,201805,gasto,2018-05-01
A003592,37,201804,201805,gasto,2018-05-01
A003593,37,201804,201805,gasto,2018-05-01
A003604,37,201804,201805,gasto,2018-05-01
A003605,37,201804,201805,gasto,2018-05-01
A003605-1,37,201804,201805,gasto,2018-05-01
A003605-2,37,201804,201805,gasto,2018-05-01
A003607,37,201804,201805,gasto,2018-05-01
A003614,37,201804,201805,gasto,2018-05-01
A003617,37,201804,201805,gasto,2018-05-01
A003618,37,201804,201805,gasto,2018-05-01
A003628,37,201804,201805,gasto,2018-05-01
A003629,37,201804,201805,deposito,2018-05-01
A003634,37,201804,201805,deposito,2018-05-01
A003637,37,201804,201805,gasto,2018-05-01
A003638,37,201804,201805,gasto,2018-05-01
A003639,37,201804,201805,gasto,2018-05-01
A003640,37,201804,201805,gasto,2018-05-01
A003641,37,201804,201805,gasto,2018-05-01
A003642,37,201804,201805,gasto,2018-05-01
A003643,37,201804,201805,gasto,2018-05-01
A003644,37,201804,201805,gasto,2018-05-01
A003652,37,201804,201805,gasto,2018-05-01
A003653,37,201804,201805,gasto,2018-05-01
A003654,37,201804,201805,gasto,2018-05-01
A003665,37,201804,201805,gasto,2018-05-01
A003678,37,201804,201805,gasto,2018-05-01
A003681,37,201804,201805,gasto,2018-05-01
A003684,37,201804,201805,gasto,2018-05-01
A003685,37,201804,201805,gasto,2018-05-01
A003686,37,201804,201805,gasto,2018-05-01
A003687,37,201804,201805,gasto,2018-05-01
A003692,37,201804,201805,gasto,2018-05-01
A003693,37,201804,201805,deposito,2018-05-01
A003696,37,201804,201805,gasto,2018-05-01
A003701,38,201805,201806,gasto,2018-06-01
A003702,38,201805,201806,gasto,2018-06-01
A003717,38,201805,201806,deposito,2018-06-01
A003719,38,201805,201806,gasto,2018-06-01
A003720,38,201805,201806,gasto,2018-06-01
A003721,38,201805,201806,gasto,2018-06-01
A003722,38,201805,201806,gasto,2018-06-01
A003724,38,201805,201806,gasto,2018-06-01
A003725,38,201805,201806,gasto,2018-06-01
A003726,38,201805,201806,gasto,2018-06-01
A003729,38,201805,201806,gasto,2018-06-01
A003730,38,201805,201806,gasto,2018-06-01
A003732,38,201805,201806,gasto,2018-06-01
A003733,38,201805,201806,gasto,2018-06-01
A003734,38,201805,201806,gasto,2018-06-01
A003735,38,201805,201806,gasto,2018-06-01
A003736,38,201805,201806,gasto,2018-06-01
A003740,38,201805,201806,gasto,2018-06-01
A003741,38,201805,201806,gasto,2018-06-01
A003742,38,201805,201806,gasto,2018-06-01
A003743,38,201805,201806,gasto,2018-06-01
A003746,38,201805,201806,gasto,2018-06-01
A003747,38,201805,201806,gasto,2018-06-01
A003748,38,201805,201806,gasto,2018-06-01
A003752,38,201805,201806,gasto,2018-06-01
A003753,38,201805,201806,gasto,2018-06-01
A003754,38,201805,201806,deposito,2018-06-01
A003758,38,201805,201806,gasto,2018-06-01
A003759,38,201805,201806,gasto,2018-06-01
A003760,38,201805,201806,gasto,2018-06-01
A003764,38,201805,201806,gasto,2018-06-01
A003765,38,201805,201806,gasto,2018-06-01
A003766,38,201805,201806,gasto,2018-06-01
A003767,38,201805,201806,gasto,2018-06-01
A003768,38,201805,201806,gasto,2018-06-01
A003769,38,201805,201806,gasto,2018-06-01
A003770,38,201805,201806,gasto,2018-06-01
