id,id_viaje,grupo_viaje
A005826,V066,G046
A009506,V086,G059
A013887,V122,G075
A015923,V147,G082
A013711,V124,G075
A004898,V052,G036
A013573,V125,G075
A002973,V030,G022
A001956,V020,G016
A005788,V065,G046
A001436,V013,G011
A013724,V122,G075
A014192,V116,G075
A002981,V030,G022
A002971,V031,G022
A014289,V133,G075
A003039,V034,G022
A014304,V129,G075
A013487,V115,G075
A010302,V094,G063
A002872,V027,G021
A002006,V021,G016
A015898,V144,G082
A008631,V084,G057
A009672,V087,G060
A006279,V074,G050
A013011,V115,G075
A005593,V064,G045
A002996,V031,G022
A001951,V020,G016
A000469,V005,G004
A009469,V086,G059
A015636,V143,G081
A001506,V021,G016
A005846,V067,G046
A005762,V065,G046
A015580,V142,G080
A005642,V064,G045
A002318,V023,G017
A009519,V086,G059
A001407,V013,G011
A001728,V021,G016
A014254,V122,G075
A013805,V118,G075
A008757,V084,G057
A005325,V061,G042
A007167,V079,G053
A000465,V005,G004
A003399,V043,G027
A013577,V125,G075
A008568,V084,G057
A005344,V061,G042
A003893,V047,G031
A005816,V065,G046
A006100,V078,G052
A005806,V065,G046
A001990,V021,G016
A015668,V143,G081
A013649,V114,G074
A005309,V061,G042
A004812,V051,G035
A001077,V010,G009
A005092,V056,G039
A013522,V119,G075
A002212,V023,G017
A002007,V021,G016
A012937,V115,G075
A006520,V078,G052
A014639,V138,G076
A013978,V128,G075
A013169,V113,G072
A008755,V084,G057
A008716,V083,G056
A005294,V061,G042
A015532,V143,G081
A001980,V020,G016
A007231,V080,G053
A000982,V009,G008
A002998,V031,G022
A013786,V116,G075
A005760,V065,G046
A004807,V051,G035
A014154,V125,G075
A003768,V046,G030
A011969,V102,G067
A001495,V021,G016
A000268,V003,G002
A013355,V123,G075
A013914-1,V122,G075
A006294,V075,G050
A012344,V105,G069
A002351,V023,G017
A014228,V119,G075
A001920,V019,G016
A013890,V122,G075
A014109,V119,G075
A015666,V143,G081
A004912,V052,G036
A000416,V004,G003
A000609,V007,G006
A013795,V116,G075
A004857,V052,G036
A013976,V128,G075
A003885,V047,G031
A005796,V065,G046
A001932,V019,G016
A014164,V131,G075
A014103,V116,G075
A006457,V077,G051
A013213,V121,G075
A008718,V083,G056
A003404,V043,G027
A014241,V122,G075
A004864,V052,G036
A007993,V081,G054
A014153,V125,G075
A006450,V077,G051
A010324,V094,G063
A015476,V143,G081
A013342,V121,G075
A004856,V052,G036
A006280,V074,G050
A004901,V052,G036
A014011,V132,G075
A005031,V055,G038
A003904,V047,G031
A013775-1,V116,G075
A009511,V086,G059
A007207,V079,G053
A008321,V082,G055
A013147,V113,G072
A005836,V067,G046
A013840,V119,G075
A006074,V071,G048
A011051,V100,G066
A013855,V121,G075
A014284,V129,G075
A003692,V045,G029
A000486,V005,G004
A011045,V100,G066
A002984,V030,G022
A006301,V075,G050
A013933-1,V123,G075
A010422,V099,G065
A013880,V122,G075
A014179,V133,G075
A014083,V133,G075
A015596,V142,G080
A014178,V133,G075
A006537,V078,G052
A003657,V045,G029
A014185,V115,G075
A013093,V113,G072
A005571,V063,G044
A015674,V143,G081
A003665,V045,G029
A014210,V118,G075
A013934-1,V123,G075
A013811,V118,G075
A006104,V074,G050
A014078,V133,G075
A013095,V113,G072
A003781,V046,G030
A003889,V047,G031
A004833,V051,G035
