"id","fecha","razon_uso","clave","descripcion","lugar_de_uso","metodo_pago","monto","id_creditos","periodo_inicio","periodo_corte","primer_dia_mes_corte","tipo_credito"
A001211,2016-07-23,DINERO,transaccion,"4.transaccion_12",DINERO6,credito_3,16773.0,16,201607,201608,2016-08-01,deposito
A001213,2016-07-23,NECESIDAD,necesidad,necesidad_11,NECESIDAD2,credito_3,-7479.0,16,201607,201608,2016-08-01,gasto
A001214,2016-07-23,NECESIDAD,necesidad,necesidad_12,NECESIDAD3,credito_3,7467.0,16,201607,201608,2016-08-01,deposito
A001277,2016-08-11,DINERO,transaccion,"5.transaccion_13",DINERO5,credito_3,16702.5,17,201608,201609,2016-09-01,deposito
A001279,2016-08-11,NECESIDAD,necesidad,necesidad_13,NECESIDAD5,credito_3,-7479.0,17,201608,201609,2016-09-01,gasto
A001280,2016-08-11,NECESIDAD,necesidad,necesidad_14,NECESIDAD6,credito_3,7467.0,17,201608,201609,2016-09-01,deposito
A001282,2016-08-11,P.GUSTOS,gustos,"2.gustos_18",P.GUSTOS6,credito_3,-200649.0,17,201608,201609,2016-09-01,gasto
A001307,2016-08-19,DINERO,transaccion,"6.transaccion_14",DINERO5,credito_3,22287.510000000002,17,201608,201609,2016-09-01,deposito
A001373,2016-09-15,DINERO,transaccion,"7.transaccion_15",DINERO8,credito_3,22287.510000000002,18,201609,201610,2016-10-01,deposito
A001518,2016-10-14,NECESIDAD,necesidad,necesidad_14,NECESIDAD9,credito_3,-7486.755,19,201610,201611,2016-11-01,gasto
A001519,2016-10-14,NECESIDAD,necesidad,necesidad_15,NECESIDAD10,credito_3,7474.755,19,201610,201611,2016-11-01,deposito
A001521,2016-10-14,DINERO,transaccion,"8.transaccion_16",DINERO6,credito_3,22287.510000000002,19,201610,201611,2016-11-01,deposito
A001533,2016-10-19,RECREACION,evento,evento_7785,RECREACION5,credito_2,-85311.0,19,201610,201611,2016-11-01,gasto
A001542,2016-10-22,DINERO,transaccion,transaccion_18,DINERO2,credito_2,85299.0,19,201610,201611,2016-11-01,deposito
