"id","fecha","razon_uso","clave","descripcion","lugar_de_uso","monto","id_viaje","grupo_viaje","periodo_fact_c_diaria"
A010185,2022-08-20,P.VIAJE,consumible,consumible_7860,P.VIAJE10,-1416.0,V091,G062,202208
A001453,2016-09-25,P.VIAJE,necesidad,necesidad_17,P.VIAJE5,36471.405,V013,G011,201609
A005688,2019-09-18,P.VIAJE,deuda,deuda: nombre_6,P.VIAJE2,44409.0,V064,G045,201909
A002622,2017-08-31,P.VIAJE,evento,evento_5686,P.VIAJE4,-45866.25,V026,G020,201708
A002850,2017-10-19,P.VIAJE,recreacion,recreacion_8,P.VIAJE8,-6915.0,V027,G021,201710
A015306,2024-12-30,LIBRE,manualidad,manualidad_14,LIBRE10,-2262.0,V141,G079,202412
A013071,2023-12-17,P.VIAJE,consumible,consumible_10674,P.VIAJE6,-1275.0,V112,G072,202312
A005698,2019-09-21,P.VIAJE,consumible,consumible_10646,P.VIAJE4,-4253.625,V064,G045,201909
A009483,2022-05-17,P.VIAJE,regalo,regalo: nombre_8,P.VIAJE2,-605.25,V086,G059,202205
A013828,2024-04-13,P.VIAJE,deuda,deuda: nombre_3,P.VIAJE1,20094.96,V119,G075,202404
A013222,2024-01-12,P.VIAJE,deuda,deuda: nombre_1,P.VIAJE1,-53559.21,V129,G075,202401
A003894,2018-06-22,P.VIAJE,consumible,consumible_9768,P.VIAJE2,-1768.5,V047,G031,201806
A013869,2024-04-16,P.VIAJE,deuda,deuda: nombre_20,P.VIAJE9,-3505.62,V122,G075,202404
A013818-1,2024-04-12,P.VIAJE,deuda,deuda: nombre_13,P.VIAJE2,-1811.5049999999999,V119,G075,202404
A000985,2016-05-15,P.VIAJE,transporte,transporte: nombre_20,P.VIAJE6,7044.0,V009,G008,201605
A014031,2024-04-27,P.VIAJE,deuda,deuda: nombre_17,P.VIAJE3,-6508.92,V133,G075,202404
A014344,2024-05-13,P.VIAJE,evento,evento_5621,P.VIAJE9,-253806.0,V137,G076,202405
A002866,2017-10-20,P.VIAJE,recreacion,recreacion_14,P.VIAJE5,70494.0,V027,G021,201710
A005268,2019-06-09,P.VIAJE,transporte,transporte: nombre_10,P.VIAJE6,11274.0,V060,G041,201906
A001954,2017-03-14,P.VIAJE,transporte,transporte_6,P.VIAJE10,-852.0,V020,G016,201703
A014735,2024-08-11,P.VIAJE,consumible,consumible_10691,P.VIAJE9,-1909.5,V139,G077,202408
